item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2_control,is watering,subject2,the gardener,context2,"in the nursery, ",1,bag,"in the nursery, the gardener","in the nursery, the gardener is watering the",is watering,the,bag,Is,packing,"in the nursery, the gardener is watering the bag",Is the gardener packing the bag?,27,Yes,No,0,0,True,10
2,word1,is filling,subject2,the bored person,context1,"before the interview, ",1,form,"before the interview, the bored person","before the interview, the bored person is filling the",is filling,the,form,Is,filling,"before the interview, the bored person is filling the form",Is the bored person filling the form?,27,Yes,No,0,0,True,12
3,word2_control,tasted,neutral,he,nocontext,,1,ball,he,he tasted the,tasted,the,ball,Did,kick,he tasted the ball,Did he kick the ball?,27,Yes,No,0,0,True,1
4,word1,rides,subject1,the cyclist,context2,"on a mission, ",1,bike,"on a mission, the cyclist","on a mission, the cyclist rides a",rides,a,bike,Does,ride,"on a mission, the cyclist rides a bike",Does the cyclist ride a bike?,27,Yes,No,0,0,True,14
5,word1,is reading,neutral,he,nocontext,,1,book,he,he is reading the,is reading,the,book,Is,reading,he is reading the book,Is he reading the book?,27,Yes,No,0,0,True,6
6,word2_control,will break,subject1,the leader,context2,"in tomorrow's Olympic game, ",1,responsibility,"in tomorrow's Olympic game, the leader","in tomorrow's Olympic game, the leader will break the",will break,the,responsibility,Will,bear,"in tomorrow's Olympic game, the leader will break the responsibility",Will the leader bear the responsibility?,27,Yes,No,0,0,True,9
7,random,mkilurs,neutral,he,context1,"in the fruit market, ",1,orange,"in the fruit market, he","in the fruit market, he mkilurs an",mkilurs,an,orange,Does,peel,"in the fruit market, he mkilurs an orange",Does he peel an orange?,27,Yes,No,0,0,True,3
8,random,is ujmnking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is ujmnking a,is ujmnking,a,photo,Is,taking,the photographer is ujmnking a photo,Is the photographer taking a photo?,27,Yes,No,0,0,True,2
9,nonword,oulls,subject1,the visitor,context2,"on a game show, ",1,door,"on a game show, the visitor","on a game show, the visitor oulls the",oulls,the,door,Does,pull,"on a game show, the visitor oulls the door",Does the visitor pull the door?,27,Yes,No,0,0,True,15
10,random,suehrged,subject2,the guest,nocontext,,1,song,the guest,the guest suehrged the,suehrged,the,song,Did,sing,the guest suehrged the song,Did the guest sing the song?,27,Yes,No,0,0,True,5
11,word2,waves,subject2,the speculator,context1,"in that fire, ",1,person,"in that fire, the speculator","in that fire, the speculator waves the",waves,the,person,Does,save,"in that fire, the speculator waves the person",Does the speculator save the person?,27,Yes,No,0,0,True,8
12,word2,burns,neutral,he,nocontext,,1,key,he,he burns the,burns,the,key,Does,turn,he burns the key,Does he turn the key?,27,Yes,No,0,0,True,11
13,word2,flipped,neutral,he,context2,"in the casino, ",1,note,"in the casino, he","in the casino, he flipped a",flipped,a,note,Did,slip,"in the casino, he flipped a note",Did he slip a note?,27,Yes,No,0,0,True,13
14,nonword,sejt,subject2,the gymnast,context1,"at the post office, ",1,letter,"at the post office, the gymnast","at the post office, the gymnast sejt his",sejt,his,letter,Did,send,"at the post office, the gymnast sejt his letter",Did the gymnast send his letter?,27,Yes,No,0,0,True,4
15,nonword,hokds,subject1,the manager,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, the manager","on the first day after the Christmas holiday, the manager hokds a",hokds,a,meeting,Does,hold,"on the first day after the Christmas holiday, the manager hokds a meeting",Does the manager hold a meeting?,27,Yes,No,0,0,True,7
