item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,word1,sang,subject2,the guest,nocontext,,1,song,the guest,the guest sang the,sang,the,song,Did,sing,the guest sang the song,Did the guest sing the song?,36,535
2,word2_control,lights,neutral,he,nocontext,,1,key,he,he lights the,lights,the,key,Does,turn,he lights the key,Does he turn the key?,36,537
3,nonword,is pjcking,subject2,the gardener,context2,"in the nursery, ",1,bag,"in the nursery, the gardener","in the nursery, the gardener is pjcking the",is pjcking,the,bag,Is,packing,"in the nursery, the gardener is pjcking the bag",Is the gardener packing the bag?,36,526
4,random,asdfaed,subject2,the gymnast,context1,"at the post office, ",1,letter,"at the post office, the gymnast","at the post office, the gymnast asdfaed his",asdfaed,his,letter,Did,send,"at the post office, the gymnast asdfaed his letter",Did the gymnast send his letter?,36,539
5,nonword,will besr,subject1,the leader,context2,"in tomorrow's Olympic game, ",1,responsibility,"in tomorrow's Olympic game, the leader","in tomorrow's Olympic game, the leader will besr the",will besr,the,responsibility,Will,bear,"in tomorrow's Olympic game, the leader will besr the responsibility",Will the leader bear the responsibility?,36,531
6,random,hugjds,subject1,the visitor,context2,"on a game show, ",1,door,"on a game show, the visitor","on a game show, the visitor hugjds the",hugjds,the,door,Does,pull,"on a game show, the visitor hugjds the door",Does the visitor pull the door?,36,534
7,nonword,jicked,neutral,he,nocontext,,1,ball,he,he jicked the,jicked,the,ball,Did,kick,he jicked the ball,Did he kick the ball?,36,528
8,word2,is killing,subject2,the bored person,context1,"before the interview, ",1,form,"before the interview, the bored person","before the interview, the bored person is killing the",is killing,the,form,Is,filling,"before the interview, the bored person is killing the form",Is the bored person filling the form?,36,527
9,random,jsaideafs,subject1,the manager,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, the manager","on the first day after the Christmas holiday, the manager jsaideafs a",jsaideafs,a,meeting,Does,hold,"on the first day after the Christmas holiday, the manager jsaideafs a meeting",Does the manager hold a meeting?,36,540
10,word2,is leading,neutral,he,nocontext,,1,book,he,he is leading the,is leading,the,book,Is,reading,he is leading the book,Is he reading the book?,36,530
11,word1,is taking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is taking a,is taking,a,photo,Is,taking,the photographer is taking a photo,Is the photographer taking a photo?,36,533
12,word2_control,brandishes,subject2,the speculator,context1,"in that fire, ",1,person,"in that fire, the speculator","in that fire, the speculator brandishes the",brandishes,the,person,Does,save,"in that fire, the speculator brandishes the person",Does the speculator save the person?,36,536
13,word2_control,tossed,neutral,he,context2,"in the casino, ",1,note,"in the casino, he","in the casino, he tossed a",tossed,a,note,Did,slip,"in the casino, he tossed a note",Did he slip a note?,36,538
14,word2,hides,subject1,the cyclist,context2,"on a mission, ",1,bike,"on a mission, the cyclist","on a mission, the cyclist hides a",hides,a,bike,Does,ride,"on a mission, the cyclist hides a bike",Does the cyclist ride a bike?,36,529
15,word1,peels,neutral,he,context1,"in the fruit market, ",1,orange,"in the fruit market, he","in the fruit market, he peels an",peels,an,orange,Does,peel,"in the fruit market, he peels an orange",Does he peel an orange?,36,532
