item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2,is picking,subject2,the gardener,context2,"in the nursery, ",1,bag,"in the nursery, the gardener","in the nursery, the gardener is picking the",is picking,the,bag,Is,packing,"in the nursery, the gardener is picking the bag",Is the gardener packing the bag?,18,Yes,No,0,0,true,10
2,random,is habsdeing,subject2,the bored person,context1,"before the interview, ",1,form,"before the interview, the bored person","before the interview, the bored person is habsdeing the",is habsdeing,the,form,Is,filling,"before the interview, the bored person is habsdeing the form",Is the bored person filling the form?,18,Yes,No,0,0,true,12
3,word2,licked,neutral,he,nocontext,,1,ball,he,he licked the,licked,the,ball,Did,kick,he licked the ball,Did he kick the ball?,18,Yes,No,0,0,true,1
4,random,asdafes,subject1,the cyclist,context2,"on a mission, ",1,bike,"on a mission, the cyclist","on a mission, the cyclist asdafes a",asdafes,a,bike,Does,ride,"on a mission, the cyclist asdafes a bike",Does the cyclist ride a bike?,18,Yes,No,0,0,true,14
5,random,is ujmnking,neutral,he,nocontext,,1,book,he,he is ujmnking the,is ujmnking,the,book,Is,reading,he is ujmnking the book,Is he reading the book?,18,Yes,No,0,0,true,6
6,word2,will beat,subject1,the leader,context2,"in tomorrow's Olympic game, ",1,responsibility,"in tomorrow's Olympic game, the leader","in tomorrow's Olympic game, the leader will beat the",will beat,the,responsibility,Will,bear,"in tomorrow's Olympic game, the leader will beat the responsibility",Will the leader bear the responsibility?,18,Yes,No,0,0,true,9
7,nonword,jeels,neutral,he,context1,"in the fruit market, ",1,orange,"in the fruit market, he","in the fruit market, he jeels an",jeels,an,orange,Does,peel,"in the fruit market, he jeels an orange",Does he peel an orange?,18,Yes,No,0,0,true,3
8,nonword,is vaking,subject1,the photographer,nocontext,,1,photo,the photographer,the photographer is vaking a,is vaking,a,photo,Is,taking,the photographer is vaking a photo,Is the photographer taking a photo?,18,Yes,No,0,0,true,2
9,word2_control,surveys,subject1,the visitor,context2,"on a game show, ",1,door,"on a game show, the visitor","on a game show, the visitor surveys the",surveys,the,door,Does,pull,"on a game show, the visitor surveys the door",Does the visitor pull the door?,18,Yes,No,0,0,true,15
10,nonword,savg,subject2,the guest,nocontext,,1,song,the guest,the guest savg the,savg,the,song,Did,sing,the guest savg the song,Did the guest sing the song?,18,Yes,No,0,0,true,5
11,word1,saves,subject2,the speculator,context1,"in that fire, ",1,person,"in that fire, the speculator","in that fire, the speculator saves the",saves,the,person,Does,save,"in that fire, the speculator saves the person",Does the speculator save the person?,18,Yes,No,0,0,true,8
12,word1,turns,neutral,he,nocontext,,1,key,he,he turns the,turns,the,key,Does,turn,he turns the key,Does he turn the key?,18,Yes,No,0,0,true,11
13,word1,slipped,neutral,he,context2,"in the casino, ",1,note,"in the casino, he","in the casino, he slipped a",slipped,a,note,Did,slip,"in the casino, he slipped a note",Did he slip a note?,18,Yes,No,0,0,true,13
14,word2_control,stretched,subject2,the gymnast,context1,"at the post office, ",1,letter,"at the post office, the gymnast","at the post office, the gymnast stretched his",stretched,his,letter,Did,send,"at the post office, the gymnast stretched his letter",Did the gymnast send his letter?,18,Yes,No,0,0,true,4
15,word2_control,creases,subject1,the manager,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, the manager","on the first day after the Christmas holiday, the manager creases a",creases,a,meeting,Does,hold,"on the first day after the Christmas holiday, the manager creases a meeting",Does the manager hold a meeting?,18,Yes,No,0,0,true,7
