item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word1,is packing,subject2,the gardener,nocontext,,1,bag,the gardener,the gardener is packing the,is packing,the,bag,Is,packing,the gardener is packing the bag,Is the gardener packing the bag?,7,Yes,No,0,0,True,10
2,nonword,is fillibg,subject2,the bored person,context2,"on the train, ",1,form,"on the train, the bored person","on the train, the bored person is fillibg the",is fillibg,the,form,Is,filling,"on the train, the bored person is fillibg the form",Is the bored person filling the form?,7,Yes,No,0,0,True,12
3,word1,kicked,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he kicked the",kicked,the,ball,Did,kick,"on the playground, he kicked the ball",Did he kick the ball?,7,Yes,No,0,0,True,1
4,nonword,rkdes,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist rkdes a,rkdes,a,bike,Does,ride,the cyclist rkdes a bike,Does the cyclist ride a bike?,7,Yes,No,0,0,True,14
5,nonword,is revding,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is revding the",is revding,the,book,Is,reading,"in the library, he is revding the book",Is he reading the book?,7,Yes,No,0,0,True,6
6,word1,will bear,subject1,the leader,nocontext,,1,responsibility,the leader,the leader will bear the,will bear,the,responsibility,Will,bear,the leader will bear the responsibility,Will the leader bear the responsibility?,7,Yes,No,0,0,True,9
7,word2_control,experiences,neutral,he,context2,"in the waiting line, ",1,orange,"in the waiting line, he","in the waiting line, he experiences an",experiences,an,orange,Does,peel,"in the waiting line, he experiences an orange",Does he peel an orange?,7,Yes,No,0,0,True,3
8,word2_control,is cooking,subject1,the photographer,context1,"in the film studio, ",1,photo,"in the film studio, the photographer","in the film studio, the photographer is cooking a",is cooking,a,photo,Is,taking,"in the film studio, the photographer is cooking a photo",Is the photographer taking a photo?,7,Yes,No,0,0,True,2
9,word2,polls,subject1,the visitor,nocontext,,1,door,the visitor,the visitor polls the,polls,the,door,Does,pull,the visitor polls the door,Does the visitor pull the door?,7,Yes,No,0,0,True,15
10,word2_control,pressed,subject2,the guest,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, the guest","on the stage in the tavern, the guest pressed the",pressed,the,song,Did,sing,"on the stage in the tavern, the guest pressed the song",Did the guest sing the song?,7,Yes,No,0,0,True,5
11,random,jiasodhuos,subject2,the speculator,context2,"at the post office, ",1,person,"at the post office, the speculator","at the post office, the speculator jiasodhuos the",jiasodhuos,the,person,Does,save,"at the post office, the speculator jiasodhuos the person",Does the speculator save the person?,7,Yes,No,0,0,True,8
12,random,jubkls,neutral,he,context1,"outside the apartment entrance, ",1,key,"outside the apartment entrance, he","outside the apartment entrance, he jubkls the",jubkls,the,key,Does,turn,"outside the apartment entrance, he jubkls the key",Does he turn the key?,7,Yes,No,0,0,True,11
13,random,ajifoased,neutral,he,nocontext,,1,note,he,he ajifoased a,ajifoased,a,note,Did,slip,he ajifoased a note,Did he slip a note?,7,Yes,No,0,0,True,13
14,word2,bent,subject2,the gymnast,context2,"in the dance studio, ",1,letter,"in the dance studio, the gymnast","in the dance studio, the gymnast bent his",bent,his,letter,Did,send,"in the dance studio, the gymnast bent his letter",Did the gymnast send his letter?,7,Yes,No,0,0,True,4
15,word2,folds,subject1,the manager,context2,"in an art class, ",1,meeting,"in an art class, the manager","in an art class, the manager folds a",folds,a,meeting,Does,hold,"in an art class, the manager folds a meeting",Does the manager hold a meeting?,7,Yes,No,0,0,True,7
