item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,nonword,is pjcking,subject1,the traveler,nocontext,,1,bag,the traveler,the traveler is pjcking the,is pjcking,the,bag,Is,packing,the traveler is pjcking the bag,Is the traveler packing the bag?,31,Yes,No,0,0,True,10
2,word2,is killing,subject1,the applicant,context2,"on the train, ",1,form,"on the train, the applicant","on the train, the applicant is killing the",is killing,the,form,Is,filling,"on the train, the applicant is killing the form",Is the applicant filling the form?,31,Yes,No,0,0,True,12
3,nonword,jicked,subject2,the child with a sweet tooth,context1,"on the playground, ",1,ball,"on the playground, the child with a sweet tooth","on the playground, the child with a sweet tooth jicked the",jicked,the,ball,Did,kick,"on the playground, the child with a sweet tooth jicked the ball",Did the child with a sweet tooth kick the ball?,31,Yes,No,0,0,True,1
4,word2,hides,neutral,he,nocontext,,1,bike,he,he hides a,hides,a,bike,Does,ride,he hides a bike,Does he ride a bike?,31,Yes,No,0,0,True,14
5,word2,is leading,subject2,the coach,context1,"in the library, ",1,book,"in the library, the coach","in the library, the coach is leading the",is leading,the,book,Is,reading,"in the library, the coach is leading the book",Is the coach reading the book?,31,Yes,No,0,0,True,6
6,nonword,will besr,neutral,he,nocontext,,1,responsibility,he,he will besr the,will besr,the,responsibility,Will,bear,he will besr the responsibility,Will he bear the responsibility?,31,Yes,No,0,0,True,9
7,word1,peels,subject2,the man rushing to catch a train,context2,"in the waiting line, ",1,orange,"in the waiting line, the man rushing to catch a train","in the waiting line, the man rushing to catch a train peels an",peels,an,orange,Does,peel,"in the waiting line, the man rushing to catch a train peels an orange",Does the man rushing to catch a train peel an orange?,31,Yes,No,0,0,True,3
8,word1,is taking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is taking a",is taking,a,photo,Is,taking,"in the film studio, he is taking a photo",Is he taking a photo?,31,Yes,No,0,0,True,2
9,random,hugjds,neutral,he,nocontext,,1,door,he,he hugjds the,hugjds,the,door,Does,pull,he hugjds the door,Does he pull the door?,31,Yes,No,0,0,True,15
10,word1,sang,subject1,the troubadour,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, the troubadour","on the stage in the tavern, the troubadour sang the",sang,the,song,Did,sing,"on the stage in the tavern, the troubadour sang the song",Did the troubadour sing the song?,31,Yes,No,0,0,True,5
11,word2_control,brandishes,subject1,the firefighter,context2,"at the post office, ",1,person,"at the post office, the firefighter","at the post office, the firefighter brandishes the",brandishes,the,person,Does,save,"at the post office, the firefighter brandishes the person",Does the firefighter save the person?,31,Yes,No,0,0,True,8
12,word2_control,lights,subject2,the match,context1,"outside the apartment entrance, ",1,key,"outside the apartment entrance, the match","outside the apartment entrance, the match lights the",lights,the,key,Does,turn,"outside the apartment entrance, the match lights the key",Does the match turn the key?,31,Yes,No,0,0,True,11
13,word2_control,tossed,subject2,the gambler,nocontext,,1,note,the gambler,the gambler tossed a,tossed,a,note,Did,slip,the gambler tossed a note,Did the gambler slip a note?,31,Yes,No,0,0,True,13
14,random,asdfaed,subject1,the mailman,context2,"in the dance studio, ",1,letter,"in the dance studio, the mailman","in the dance studio, the mailman asdfaed his",asdfaed,his,letter,Did,send,"in the dance studio, the mailman asdfaed his letter",Did the mailman send his letter?,31,Yes,No,0,0,True,4
15,random,jsaideafs,neutral,he,context2,"in an art class, ",1,meeting,"in an art class, he","in an art class, he jsaideafs a",jsaideafs,a,meeting,Does,hold,"in an art class, he jsaideafs a meeting",Does he hold a meeting?,31,Yes,No,0,0,True,7
