item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,nonword,savg,neutral,he,nocontext,,1,song,he,he savg the,savg,the,song,Did,sing,he savg the song,Did he sing the song?,12,175
2,word1,turns,subject1,the tenant,nocontext,,1,key,the tenant,the tenant turns the,turns,the,key,Does,turn,the tenant turns the key,Does the tenant turn the key?,12,177
3,word2,is picking,neutral,he,context2,"in the nursery, ",1,bag,"in the nursery, he","in the nursery, he is picking the",is picking,the,bag,Is,packing,"in the nursery, he is picking the bag",Is he packing the bag?,12,166
4,word2_control,stretched,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he stretched his",stretched,his,letter,Did,send,"at the post office, he stretched his letter",Did he send his letter?,12,179
5,word2,will beat,subject2,the athlete,context2,"in tomorrow's Olympic game, ",1,responsibility,"in tomorrow's Olympic game, the athlete","in tomorrow's Olympic game, the athlete will beat the",will beat,the,responsibility,Will,bear,"in tomorrow's Olympic game, the athlete will beat the responsibility",Will the athlete bear the responsibility?,12,171
6,word2_control,surveys,subject2,the host,context2,"on a game show, ",1,door,"on a game show, the host","on a game show, the host surveys the",surveys,the,door,Does,pull,"on a game show, the host surveys the door",Does the host pull the door?,12,174
7,word2,licked,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player licked the,licked,the,ball,Did,kick,the soccer player licked the ball,Did the soccer player kick the ball?,12,168
8,random,is habsdeing,neutral,he,context1,"before the interview, ",1,form,"before the interview, he","before the interview, he is habsdeing the",is habsdeing,the,form,Is,filling,"before the interview, he is habsdeing the form",Is he filling the form?,12,167
9,word2_control,creases,subject2,the artist,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, the artist","on the first day after the Christmas holiday, the artist creases a",creases,a,meeting,Does,hold,"on the first day after the Christmas holiday, the artist creases a meeting",Does the artist hold a meeting?,12,180
10,random,is ujmnking,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is ujmnking the,is ujmnking,the,book,Is,reading,the bookworm is ujmnking the book,Is the bookworm reading the book?,12,170
11,nonword,is vaking,subject2,the baker,nocontext,,1,photo,the baker,the baker is vaking a,is vaking,a,photo,Is,taking,the baker is vaking a photo,Is the baker taking a photo?,12,173
12,word1,saves,neutral,he,context1,"in that fire, ",1,person,"in that fire, he","in that fire, he saves the",saves,the,person,Does,save,"in that fire, he saves the person",Does he save the person?,12,176
13,word1,slipped,subject1,the student,context2,"in the casino, ",1,note,"in the casino, the student","in the casino, the student slipped a",slipped,a,note,Did,slip,"in the casino, the student slipped a note",Did the student slip a note?,12,178
14,random,asdafes,subject2,the spy,context2,"on a mission, ",1,bike,"on a mission, the spy","on a mission, the spy asdafes a",asdafes,a,bike,Does,ride,"on a mission, the spy asdafes a bike",Does the spy ride a bike?,12,169
15,nonword,jeels,subject1,the fruit seller,context1,"in the fruit market, ",1,orange,"in the fruit market, the fruit seller","in the fruit market, the fruit seller jeels an",jeels,an,orange,Does,peel,"in the fruit market, the fruit seller jeels an orange",Does the fruit seller peel an orange?,12,172
