item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2_control,is watering,subject1,the traveler,context2,"in the nursery, ",1,bag,"in the nursery, the traveler","in the nursery, the traveler is watering the",is watering,the,bag,Is,packing,"in the nursery, the traveler is watering the bag",Is the traveler packing the bag?,24,Yes,No,0,0,true,10
2,word1,is filling,subject1,the applicant,context1,"before the interview, ",1,form,"before the interview, the applicant","before the interview, the applicant is filling the",is filling,the,form,Is,filling,"before the interview, the applicant is filling the form",Is the applicant filling the form?,24,Yes,No,0,0,true,12
3,word2_control,tasted,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth tasted the,tasted,the,ball,Did,kick,the child with a sweet tooth tasted the ball,Did the child with a sweet tooth kick the ball?,24,Yes,No,0,0,true,1
4,word1,rides,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he rides a",rides,a,bike,Does,ride,"on a mission, he rides a bike",Does he ride a bike?,24,Yes,No,0,0,true,14
5,word1,is reading,subject2,the coach,nocontext,,1,book,the coach,the coach is reading the,is reading,the,book,Is,reading,the coach is reading the book,Is the coach reading the book?,24,Yes,No,0,0,true,6
6,word2_control,will break,neutral,he,context2,"in tomorrow's Olympic game, ",1,responsibility,"in tomorrow's Olympic game, he","in tomorrow's Olympic game, he will break the",will break,the,responsibility,Will,bear,"in tomorrow's Olympic game, he will break the responsibility",Will he bear the responsibility?,24,Yes,No,0,0,true,9
7,random,mkilurs,subject2,the man rushing to catch a train,context1,"in the fruit market, ",1,orange,"in the fruit market, the man rushing to catch a train","in the fruit market, the man rushing to catch a train mkilurs an",mkilurs,an,orange,Does,peel,"in the fruit market, the man rushing to catch a train mkilurs an orange",Does the man rushing to catch a train peel an orange?,24,Yes,No,0,0,true,3
8,random,is ujmnking,neutral,he,nocontext,,1,photo,he,he is ujmnking a,is ujmnking,a,photo,Is,taking,he is ujmnking a photo,Is he taking a photo?,24,Yes,No,0,0,true,2
9,nonword,oulls,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he oulls the",oulls,the,door,Does,pull,"on a game show, he oulls the door",Does he pull the door?,24,Yes,No,0,0,true,15
10,random,suehrged,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour suehrged the,suehrged,the,song,Did,sing,the troubadour suehrged the song,Did the troubadour sing the song?,24,Yes,No,0,0,true,5
11,word2,waves,subject1,the firefighter,context1,"in that fire, ",1,person,"in that fire, the firefighter","in that fire, the firefighter waves the",waves,the,person,Does,save,"in that fire, the firefighter waves the person",Does the firefighter save the person?,24,Yes,No,0,0,true,8
12,word2,burns,subject2,the match,nocontext,,1,key,the match,the match burns the,burns,the,key,Does,turn,the match burns the key,Does the match turn the key?,24,Yes,No,0,0,true,11
13,word2,flipped,subject2,the gambler,context2,"in the casino, ",1,note,"in the casino, the gambler","in the casino, the gambler flipped a",flipped,a,note,Did,slip,"in the casino, the gambler flipped a note",Did the gambler slip a note?,24,Yes,No,0,0,true,13
14,nonword,sejt,subject1,the mailman,context1,"at the post office, ",1,letter,"at the post office, the mailman","at the post office, the mailman sejt his",sejt,his,letter,Did,send,"at the post office, the mailman sejt his letter",Did the mailman send his letter?,24,Yes,No,0,0,true,4
15,nonword,hokds,neutral,he,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, he","on the first day after the Christmas holiday, he hokds a",hokds,a,meeting,Does,hold,"on the first day after the Christmas holiday, he hokds a meeting",Does he hold a meeting?,24,Yes,No,0,0,true,7
