item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,random,is ajiaeasing,subject2,the gardener,nocontext,,1,bag,the gardener,the gardener is ajiaeasing the,is ajiaeasing,the,bag,Is,packing,the gardener is ajiaeasing the bag,Is the gardener packing the bag?,43,Yes,No,0,0,true,10
2,word2_control,is passing,subject2,the bored person,context2,"on the train, ",1,form,"on the train, the bored person","on the train, the bored person is passing the",is passing,the,form,Is,filling,"on the train, the bored person is passing the form",Is the bored person filling the form?,43,Yes,No,0,0,true,12
3,random,ambdked,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he ambdked the",ambdked,the,ball,Did,kick,"on the playground, he ambdked the ball",Did he kick the ball?,43,Yes,No,0,0,true,1
4,word2_control,conceals,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist conceals a,conceals,a,bike,Does,ride,the cyclist conceals a bike,Does the cyclist ride a bike?,43,Yes,No,0,0,true,14
5,word2_control,is managing,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is managing the",is managing,the,book,Is,reading,"in the library, he is managing the book",Is he reading the book?,43,Yes,No,0,0,true,6
6,random,will aasoidjoi,subject1,the leader,nocontext,,1,responsibility,the leader,the leader will aasoidjoi the,will aasoidjoi,the,responsibility,Will,bear,the leader will aasoidjoi the responsibility,Will the leader bear the responsibility?,43,Yes,No,0,0,true,9
7,word2,feels,neutral,he,context2,"in the waiting line, ",1,orange,"in the waiting line, he","in the waiting line, he feels an",feels,an,orange,Does,peel,"in the waiting line, he feels an orange",Does he peel an orange?,43,Yes,No,0,0,true,3
8,word2,is baking,subject1,the photographer,context1,"in the film studio, ",1,photo,"in the film studio, the photographer","in the film studio, the photographer is baking a",is baking,a,photo,Is,taking,"in the film studio, the photographer is baking a photo",Is the photographer taking a photo?,43,Yes,No,0,0,true,2
9,word1,pulls,subject1,the visitor,nocontext,,1,door,the visitor,the visitor pulls the,pulls,the,door,Does,pull,the visitor pulls the door,Does the visitor pull the door?,43,Yes,No,0,0,true,15
10,word2,rang,subject2,the guest,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, the guest","on the stage in the tavern, the guest rang the",rang,the,song,Did,sing,"on the stage in the tavern, the guest rang the song",Did the guest sing the song?,43,Yes,No,0,0,true,5
11,nonword,savrs,subject2,the speculator,context2,"at the post office, ",1,person,"at the post office, the speculator","at the post office, the speculator savrs the",savrs,the,person,Does,save,"at the post office, the speculator savrs the person",Does the speculator save the person?,43,Yes,No,0,0,true,8
12,nonword,tjrns,neutral,he,context1,"outside the apartment entrance, ",1,key,"outside the apartment entrance, he","outside the apartment entrance, he tjrns the",tjrns,the,key,Does,turn,"outside the apartment entrance, he tjrns the key",Does he turn the key?,43,Yes,No,0,0,true,11
13,nonword,sljpped,neutral,he,nocontext,,1,note,he,he sljpped a,sljpped,a,note,Did,slip,he sljpped a note,Did he slip a note?,43,Yes,No,0,0,true,13
14,word1,sent,subject2,the gymnast,context2,"in the dance studio, ",1,letter,"in the dance studio, the gymnast","in the dance studio, the gymnast sent his",sent,his,letter,Did,send,"in the dance studio, the gymnast sent his letter",Did the gymnast send his letter?,43,Yes,No,0,0,true,4
15,word1,holds,subject1,the manager,context2,"in an art class, ",1,meeting,"in an art class, the manager","in an art class, the manager holds a",holds,a,meeting,Does,hold,"in an art class, the manager holds a meeting",Does the manager hold a meeting?,43,Yes,No,0,0,true,7
