item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,word2,rang,neutral,he,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, he","on the stage in the tavern, he rang the",rang,the,song,Did,sing,"on the stage in the tavern, he rang the song",Did he sing the song?,37,550
2,nonword,tjrns,subject1,the tenant,context1,"outside the apartment entrance, ",1,key,"outside the apartment entrance, the tenant","outside the apartment entrance, the tenant tjrns the",tjrns,the,key,Does,turn,"outside the apartment entrance, the tenant tjrns the key",Does the tenant turn the key?,37,552
3,random,is ajiaeasing,neutral,he,nocontext,,1,bag,he,he is ajiaeasing the,is ajiaeasing,the,bag,Is,packing,he is ajiaeasing the bag,Is he packing the bag?,37,541
4,word1,sent,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he sent his",sent,his,letter,Did,send,"in the dance studio, he sent his letter",Did he send his letter?,37,554
5,random,will aasoidjoi,subject2,the athlete,nocontext,,1,responsibility,the athlete,the athlete will aasoidjoi the,will aasoidjoi,the,responsibility,Will,bear,the athlete will aasoidjoi the responsibility,Will the athlete bear the responsibility?,37,546
6,word1,pulls,subject2,the host,nocontext,,1,door,the host,the host pulls the,pulls,the,door,Does,pull,the host pulls the door,Does the host pull the door?,37,549
7,random,ambdked,subject1,the soccer player,context1,"on the playground, ",1,ball,"on the playground, the soccer player","on the playground, the soccer player ambdked the",ambdked,the,ball,Did,kick,"on the playground, the soccer player ambdked the ball",Did the soccer player kick the ball?,37,543
8,word2_control,is passing,neutral,he,context2,"on the train, ",1,form,"on the train, he","on the train, he is passing the",is passing,the,form,Is,filling,"on the train, he is passing the form",Is he filling the form?,37,542
9,word1,holds,subject2,the artist,context2,"in an art class, ",1,meeting,"in an art class, the artist","in an art class, the artist holds a",holds,a,meeting,Does,hold,"in an art class, the artist holds a meeting",Does the artist hold a meeting?,37,555
10,word2_control,is managing,subject1,the bookworm,context1,"in the library, ",1,book,"in the library, the bookworm","in the library, the bookworm is managing the",is managing,the,book,Is,reading,"in the library, the bookworm is managing the book",Is the bookworm reading the book?,37,545
11,word2,is baking,subject2,the baker,context1,"in the film studio, ",1,photo,"in the film studio, the baker","in the film studio, the baker is baking a",is baking,a,photo,Is,taking,"in the film studio, the baker is baking a photo",Is the baker taking a photo?,37,548
12,nonword,savrs,neutral,he,context2,"at the post office, ",1,person,"at the post office, he","at the post office, he savrs the",savrs,the,person,Does,save,"at the post office, he savrs the person",Does he save the person?,37,551
13,nonword,sljpped,subject1,the student,nocontext,,1,note,the student,the student sljpped a,sljpped,a,note,Did,slip,the student sljpped a note,Did the student slip a note?,37,553
14,word2_control,conceals,subject2,the spy,nocontext,,1,bike,the spy,the spy conceals a,conceals,a,bike,Does,ride,the spy conceals a bike,Does the spy ride a bike?,37,544
15,word2,feels,subject1,the fruit seller,context2,"in the waiting line, ",1,orange,"in the waiting line, the fruit seller","in the waiting line, the fruit seller feels an",feels,an,orange,Does,peel,"in the waiting line, the fruit seller feels an orange",Does the fruit seller peel an orange?,37,547
