item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,word2,rang,subject1,the troubadour,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, the troubadour","on the stage in the tavern, the troubadour rang the",rang,the,song,Did,sing,"on the stage in the tavern, the troubadour rang the song",Did the troubadour sing the song?,40,595
2,nonword,tjrns,subject2,the match,context1,"outside the apartment entrance, ",1,key,"outside the apartment entrance, the match","outside the apartment entrance, the match tjrns the",tjrns,the,key,Does,turn,"outside the apartment entrance, the match tjrns the key",Does the match turn the key?,40,597
3,random,is ajiaeasing,subject1,the traveler,nocontext,,1,bag,the traveler,the traveler is ajiaeasing the,is ajiaeasing,the,bag,Is,packing,the traveler is ajiaeasing the bag,Is the traveler packing the bag?,40,586
4,word1,sent,subject1,the mailman,context2,"in the dance studio, ",1,letter,"in the dance studio, the mailman","in the dance studio, the mailman sent his",sent,his,letter,Did,send,"in the dance studio, the mailman sent his letter",Did the mailman send his letter?,40,599
5,random,will aasoidjoi,neutral,he,nocontext,,1,responsibility,he,he will aasoidjoi the,will aasoidjoi,the,responsibility,Will,bear,he will aasoidjoi the responsibility,Will he bear the responsibility?,40,591
6,word1,pulls,neutral,he,nocontext,,1,door,he,he pulls the,pulls,the,door,Does,pull,he pulls the door,Does he pull the door?,40,594
7,random,ambdked,subject2,the child with a sweet tooth,context1,"on the playground, ",1,ball,"on the playground, the child with a sweet tooth","on the playground, the child with a sweet tooth ambdked the",ambdked,the,ball,Did,kick,"on the playground, the child with a sweet tooth ambdked the ball",Did the child with a sweet tooth kick the ball?,40,588
8,word2_control,is passing,subject1,the applicant,context2,"on the train, ",1,form,"on the train, the applicant","on the train, the applicant is passing the",is passing,the,form,Is,filling,"on the train, the applicant is passing the form",Is the applicant filling the form?,40,587
9,word1,holds,neutral,he,context2,"in an art class, ",1,meeting,"in an art class, he","in an art class, he holds a",holds,a,meeting,Does,hold,"in an art class, he holds a meeting",Does he hold a meeting?,40,600
10,word2_control,is managing,subject2,the coach,context1,"in the library, ",1,book,"in the library, the coach","in the library, the coach is managing the",is managing,the,book,Is,reading,"in the library, the coach is managing the book",Is the coach reading the book?,40,590
11,word2,is baking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is baking a",is baking,a,photo,Is,taking,"in the film studio, he is baking a photo",Is he taking a photo?,40,593
12,nonword,savrs,subject1,the firefighter,context2,"at the post office, ",1,person,"at the post office, the firefighter","at the post office, the firefighter savrs the",savrs,the,person,Does,save,"at the post office, the firefighter savrs the person",Does the firefighter save the person?,40,596
13,nonword,sljpped,subject2,the gambler,nocontext,,1,note,the gambler,the gambler sljpped a,sljpped,a,note,Did,slip,the gambler sljpped a note,Did the gambler slip a note?,40,598
14,word2_control,conceals,neutral,he,nocontext,,1,bike,he,he conceals a,conceals,a,bike,Does,ride,he conceals a bike,Does he ride a bike?,40,589
15,word2,feels,subject2,the man rushing to catch a train,context2,"in the waiting line, ",1,orange,"in the waiting line, the man rushing to catch a train","in the waiting line, the man rushing to catch a train feels an",feels,an,orange,Does,peel,"in the waiting line, the man rushing to catch a train feels an orange",Does the man rushing to catch a train peel an orange?,40,592
