item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,word2,rang,neutral,he,nocontext,,1,song,he,he rang the,rang,the,song,Did,sing,he rang the song,Did he sing the song?,39,580
2,nonword,tjrns,subject1,the tenant,nocontext,,1,key,the tenant,the tenant tjrns the,tjrns,the,key,Does,turn,the tenant tjrns the key,Does the tenant turn the key?,39,582
3,random,is ajiaeasing,neutral,he,context2,"in the nursery, ",1,bag,"in the nursery, he","in the nursery, he is ajiaeasing the",is ajiaeasing,the,bag,Is,packing,"in the nursery, he is ajiaeasing the bag",Is he packing the bag?,39,571
4,word1,sent,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he sent his",sent,his,letter,Did,send,"at the post office, he sent his letter",Did he send his letter?,39,584
5,random,will aasoidjoi,subject2,the athlete,context2,"in tomorrow's Olympic game, ",1,responsibility,"in tomorrow's Olympic game, the athlete","in tomorrow's Olympic game, the athlete will aasoidjoi the",will aasoidjoi,the,responsibility,Will,bear,"in tomorrow's Olympic game, the athlete will aasoidjoi the responsibility",Will the athlete bear the responsibility?,39,576
6,word1,pulls,subject2,the host,context2,"on a game show, ",1,door,"on a game show, the host","on a game show, the host pulls the",pulls,the,door,Does,pull,"on a game show, the host pulls the door",Does the host pull the door?,39,579
7,random,ambdked,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player ambdked the,ambdked,the,ball,Did,kick,the soccer player ambdked the ball,Did the soccer player kick the ball?,39,573
8,word2_control,is passing,neutral,he,context1,"before the interview, ",1,form,"before the interview, he","before the interview, he is passing the",is passing,the,form,Is,filling,"before the interview, he is passing the form",Is he filling the form?,39,572
9,word1,holds,subject2,the artist,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, the artist","on the first day after the Christmas holiday, the artist holds a",holds,a,meeting,Does,hold,"on the first day after the Christmas holiday, the artist holds a meeting",Does the artist hold a meeting?,39,585
10,word2_control,is managing,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is managing the,is managing,the,book,Is,reading,the bookworm is managing the book,Is the bookworm reading the book?,39,575
11,word2,is baking,subject2,the baker,nocontext,,1,photo,the baker,the baker is baking a,is baking,a,photo,Is,taking,the baker is baking a photo,Is the baker taking a photo?,39,578
12,nonword,savrs,neutral,he,context1,"in that fire, ",1,person,"in that fire, he","in that fire, he savrs the",savrs,the,person,Does,save,"in that fire, he savrs the person",Does he save the person?,39,581
13,nonword,sljpped,subject1,the student,context2,"in the casino, ",1,note,"in the casino, the student","in the casino, the student sljpped a",sljpped,a,note,Did,slip,"in the casino, the student sljpped a note",Did the student slip a note?,39,583
14,word2_control,conceals,subject2,the spy,context2,"on a mission, ",1,bike,"on a mission, the spy","on a mission, the spy conceals a",conceals,a,bike,Does,ride,"on a mission, the spy conceals a bike",Does the spy ride a bike?,39,574
15,word2,feels,subject1,the fruit seller,context1,"in the fruit market, ",1,orange,"in the fruit market, the fruit seller","in the fruit market, the fruit seller feels an",feels,an,orange,Does,peel,"in the fruit market, the fruit seller feels an orange",Does the fruit seller peel an orange?,39,577
