item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,word1,sang,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour sang the,sang,the,song,Did,sing,the troubadour sang the song,Did the troubadour sing the song?,33,490
2,word2_control,lights,subject2,the match,nocontext,,1,key,the match,the match lights the,lights,the,key,Does,turn,the match lights the key,Does the match turn the key?,33,492
3,nonword,is pjcking,subject1,the traveler,context2,"in the nursery, ",1,bag,"in the nursery, the traveler","in the nursery, the traveler is pjcking the",is pjcking,the,bag,Is,packing,"in the nursery, the traveler is pjcking the bag",Is the traveler packing the bag?,33,481
4,random,asdfaed,subject1,the mailman,context1,"at the post office, ",1,letter,"at the post office, the mailman","at the post office, the mailman asdfaed his",asdfaed,his,letter,Did,send,"at the post office, the mailman asdfaed his letter",Did the mailman send his letter?,33,494
5,nonword,will besr,neutral,he,context2,"in tomorrow's Olympic game, ",1,responsibility,"in tomorrow's Olympic game, he","in tomorrow's Olympic game, he will besr the",will besr,the,responsibility,Will,bear,"in tomorrow's Olympic game, he will besr the responsibility",Will he bear the responsibility?,33,486
6,random,hugjds,neutral,he,context2,"on a game show, ",1,door,"on a game show, he","on a game show, he hugjds the",hugjds,the,door,Does,pull,"on a game show, he hugjds the door",Does he pull the door?,33,489
7,nonword,jicked,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth jicked the,jicked,the,ball,Did,kick,the child with a sweet tooth jicked the ball,Did the child with a sweet tooth kick the ball?,33,483
8,word2,is killing,subject1,the applicant,context1,"before the interview, ",1,form,"before the interview, the applicant","before the interview, the applicant is killing the",is killing,the,form,Is,filling,"before the interview, the applicant is killing the form",Is the applicant filling the form?,33,482
9,random,jsaideafs,neutral,he,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, he","on the first day after the Christmas holiday, he jsaideafs a",jsaideafs,a,meeting,Does,hold,"on the first day after the Christmas holiday, he jsaideafs a meeting",Does he hold a meeting?,33,495
10,word2,is leading,subject2,the coach,nocontext,,1,book,the coach,the coach is leading the,is leading,the,book,Is,reading,the coach is leading the book,Is the coach reading the book?,33,485
11,word1,is taking,neutral,he,nocontext,,1,photo,he,he is taking a,is taking,a,photo,Is,taking,he is taking a photo,Is he taking a photo?,33,488
12,word2_control,brandishes,subject1,the firefighter,context1,"in that fire, ",1,person,"in that fire, the firefighter","in that fire, the firefighter brandishes the",brandishes,the,person,Does,save,"in that fire, the firefighter brandishes the person",Does the firefighter save the person?,33,491
13,word2_control,tossed,subject2,the gambler,context2,"in the casino, ",1,note,"in the casino, the gambler","in the casino, the gambler tossed a",tossed,a,note,Did,slip,"in the casino, the gambler tossed a note",Did the gambler slip a note?,33,493
14,word2,hides,neutral,he,context2,"on a mission, ",1,bike,"on a mission, he","on a mission, he hides a",hides,a,bike,Does,ride,"on a mission, he hides a bike",Does he ride a bike?,33,484
15,word1,peels,subject2,the man rushing to catch a train,context1,"in the fruit market, ",1,orange,"in the fruit market, the man rushing to catch a train","in the fruit market, the man rushing to catch a train peels an",peels,an,orange,Does,peel,"in the fruit market, the man rushing to catch a train peels an orange",Does the man rushing to catch a train peel an orange?,33,487
