item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,word1,sang,subject2,the guest,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, the guest","on the stage in the tavern, the guest sang the",sang,the,song,Did,sing,"on the stage in the tavern, the guest sang the song",Did the guest sing the song?,34,505
2,word2_control,lights,neutral,he,context1,"outside the apartment entrance, ",1,key,"outside the apartment entrance, he","outside the apartment entrance, he lights the",lights,the,key,Does,turn,"outside the apartment entrance, he lights the key",Does he turn the key?,34,507
3,nonword,is pjcking,subject2,the gardener,nocontext,,1,bag,the gardener,the gardener is pjcking the,is pjcking,the,bag,Is,packing,the gardener is pjcking the bag,Is the gardener packing the bag?,34,496
4,random,asdfaed,subject2,the gymnast,context2,"in the dance studio, ",1,letter,"in the dance studio, the gymnast","in the dance studio, the gymnast asdfaed his",asdfaed,his,letter,Did,send,"in the dance studio, the gymnast asdfaed his letter",Did the gymnast send his letter?,34,509
5,nonword,will besr,subject1,the leader,nocontext,,1,responsibility,the leader,the leader will besr the,will besr,the,responsibility,Will,bear,the leader will besr the responsibility,Will the leader bear the responsibility?,34,501
6,random,hugjds,subject1,the visitor,nocontext,,1,door,the visitor,the visitor hugjds the,hugjds,the,door,Does,pull,the visitor hugjds the door,Does the visitor pull the door?,34,504
7,nonword,jicked,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he jicked the",jicked,the,ball,Did,kick,"on the playground, he jicked the ball",Did he kick the ball?,34,498
8,word2,is killing,subject2,the bored person,context2,"on the train, ",1,form,"on the train, the bored person","on the train, the bored person is killing the",is killing,the,form,Is,filling,"on the train, the bored person is killing the form",Is the bored person filling the form?,34,497
9,random,jsaideafs,subject1,the manager,context2,"in an art class, ",1,meeting,"in an art class, the manager","in an art class, the manager jsaideafs a",jsaideafs,a,meeting,Does,hold,"in an art class, the manager jsaideafs a meeting",Does the manager hold a meeting?,34,510
10,word2,is leading,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is leading the",is leading,the,book,Is,reading,"in the library, he is leading the book",Is he reading the book?,34,500
11,word1,is taking,subject1,the photographer,context1,"in the film studio, ",1,photo,"in the film studio, the photographer","in the film studio, the photographer is taking a",is taking,a,photo,Is,taking,"in the film studio, the photographer is taking a photo",Is the photographer taking a photo?,34,503
12,word2_control,brandishes,subject2,the speculator,context2,"at the post office, ",1,person,"at the post office, the speculator","at the post office, the speculator brandishes the",brandishes,the,person,Does,save,"at the post office, the speculator brandishes the person",Does the speculator save the person?,34,506
13,word2_control,tossed,neutral,he,nocontext,,1,note,he,he tossed a,tossed,a,note,Did,slip,he tossed a note,Did he slip a note?,34,508
14,word2,hides,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist hides a,hides,a,bike,Does,ride,the cyclist hides a bike,Does the cyclist ride a bike?,34,499
15,word1,peels,neutral,he,context2,"in the waiting line, ",1,orange,"in the waiting line, he","in the waiting line, he peels an",peels,an,orange,Does,peel,"in the waiting line, he peels an orange",Does he peel an orange?,34,502
