item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,random,suehrged,neutral,he,context2,"arriving at the front desk, ",1,song,"arriving at the front desk, he","arriving at the front desk, he suehrged the",suehrged,the,song,Did,sing,"arriving at the front desk, he suehrged the song",Did he sing the song?,20,295
2,word2,burns,subject1,the tenant,context2,"in the darkness, ",1,key,"in the darkness, the tenant","in the darkness, the tenant burns the",burns,the,key,Does,turn,"in the darkness, the tenant burns the key",Does the tenant turn the key?,20,297
3,word2_control,is watering,neutral,he,context1,"in the hotel, ",1,bag,"in the hotel, he","in the hotel, he is watering the",is watering,the,bag,Is,packing,"in the hotel, he is watering the bag",Is he packing the bag?,20,286
4,nonword,sejt,neutral,he,nocontext,,1,letter,he,he sejt his,sejt,his,letter,Did,send,he sejt his letter,Did he send his letter?,20,299
5,word2_control,will break,subject2,the athlete,context1,"when confronted by the challenge, ",1,responsibility,"when confronted by the challenge, the athlete","when confronted by the challenge, the athlete will break the",will break,the,responsibility,Will,bear,"when confronted by the challenge, the athlete will break the responsibility",Will the athlete bear the responsibility?,20,291
6,nonword,oulls,subject2,the host,context1,"at the entrance, ",1,door,"at the entrance, the host","at the entrance, the host oulls the",oulls,the,door,Does,pull,"at the entrance, the host oulls the door",Does the host pull the door?,20,294
7,word2_control,tasted,subject1,the soccer player,context2,"in the restaurant, ",1,ball,"in the restaurant, the soccer player","in the restaurant, the soccer player tasted the",tasted,the,ball,Did,kick,"in the restaurant, the soccer player tasted the ball",Did the soccer player kick the ball?,20,288
8,word1,is filling,neutral,he,nocontext,,1,form,he,he is filling the,is filling,the,form,Is,filling,he is filling the form,Is he filling the form?,20,287
9,nonword,hokds,subject2,the artist,nocontext,,1,meeting,the artist,the artist hokds a,hokds,a,meeting,Does,hold,the artist hokds a meeting,Does the artist hold a meeting?,20,300
10,word1,is reading,subject1,the bookworm,context2,"after the manager resigned, ",1,book,"after the manager resigned, the bookworm","after the manager resigned, the bookworm is reading the",is reading,the,book,Is,reading,"after the manager resigned, the bookworm is reading the book",Is the bookworm reading the book?,20,290
11,random,is ujmnking,subject2,the baker,context2,"in the kitchen, ",1,photo,"in the kitchen, the baker","in the kitchen, the baker is ujmnking a",is ujmnking,a,photo,Is,taking,"in the kitchen, the baker is ujmnking a photo",Is the baker taking a photo?,20,293
12,word2,waves,neutral,he,nocontext,,1,person,he,he waves the,waves,the,person,Does,save,he waves the person,Does he save the person?,20,296
13,word2,flipped,subject1,the student,context1,"in the exam, ",1,note,"in the exam, the student","in the exam, the student flipped a",flipped,a,note,Did,slip,"in the exam, the student flipped a note",Did the student slip a note?,20,298
14,word1,rides,subject2,the spy,context1,"in the park, ",1,bike,"in the park, the spy","in the park, the spy rides a",rides,a,bike,Does,ride,"in the park, the spy rides a bike",Does the spy ride a bike?,20,289
15,random,mkilurs,subject1,the fruit seller,nocontext,,1,orange,the fruit seller,the fruit seller mkilurs an,mkilurs,an,orange,Does,peel,the fruit seller mkilurs an orange,Does the fruit seller peel an orange?,20,292
