item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,random,suehrged,subject2,the guest,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, the guest","on the stage in the tavern, the guest suehrged the",suehrged,the,song,Did,sing,"on the stage in the tavern, the guest suehrged the song",Did the guest sing the song?,25,370
2,word2,burns,neutral,he,context1,"outside the apartment entrance, ",1,key,"outside the apartment entrance, he","outside the apartment entrance, he burns the",burns,the,key,Does,turn,"outside the apartment entrance, he burns the key",Does he turn the key?,25,372
3,word2_control,is watering,subject2,the gardener,nocontext,,1,bag,the gardener,the gardener is watering the,is watering,the,bag,Is,packing,the gardener is watering the bag,Is the gardener packing the bag?,25,361
4,nonword,sejt,subject2,the gymnast,context2,"in the dance studio, ",1,letter,"in the dance studio, the gymnast","in the dance studio, the gymnast sejt his",sejt,his,letter,Did,send,"in the dance studio, the gymnast sejt his letter",Did the gymnast send his letter?,25,374
5,word2_control,will break,subject1,the leader,nocontext,,1,responsibility,the leader,the leader will break the,will break,the,responsibility,Will,bear,the leader will break the responsibility,Will the leader bear the responsibility?,25,366
6,nonword,oulls,subject1,the visitor,nocontext,,1,door,the visitor,the visitor oulls the,oulls,the,door,Does,pull,the visitor oulls the door,Does the visitor pull the door?,25,369
7,word2_control,tasted,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he tasted the",tasted,the,ball,Did,kick,"on the playground, he tasted the ball",Did he kick the ball?,25,363
8,word1,is filling,subject2,the bored person,context2,"on the train, ",1,form,"on the train, the bored person","on the train, the bored person is filling the",is filling,the,form,Is,filling,"on the train, the bored person is filling the form",Is the bored person filling the form?,25,362
9,nonword,hokds,subject1,the manager,context2,"in an art class, ",1,meeting,"in an art class, the manager","in an art class, the manager hokds a",hokds,a,meeting,Does,hold,"in an art class, the manager hokds a meeting",Does the manager hold a meeting?,25,375
10,word1,is reading,neutral,he,context1,"in the library, ",1,book,"in the library, he","in the library, he is reading the",is reading,the,book,Is,reading,"in the library, he is reading the book",Is he reading the book?,25,365
11,random,is ujmnking,subject1,the photographer,context1,"in the film studio, ",1,photo,"in the film studio, the photographer","in the film studio, the photographer is ujmnking a",is ujmnking,a,photo,Is,taking,"in the film studio, the photographer is ujmnking a photo",Is the photographer taking a photo?,25,368
12,word2,waves,subject2,the speculator,context2,"at the post office, ",1,person,"at the post office, the speculator","at the post office, the speculator waves the",waves,the,person,Does,save,"at the post office, the speculator waves the person",Does the speculator save the person?,25,371
13,word2,flipped,neutral,he,nocontext,,1,note,he,he flipped a,flipped,a,note,Did,slip,he flipped a note,Did he slip a note?,25,373
14,word1,rides,subject1,the cyclist,nocontext,,1,bike,the cyclist,the cyclist rides a,rides,a,bike,Does,ride,the cyclist rides a bike,Does the cyclist ride a bike?,25,364
15,random,mkilurs,neutral,he,context2,"in the waiting line, ",1,orange,"in the waiting line, he","in the waiting line, he mkilurs an",mkilurs,an,orange,Does,peel,"in the waiting line, he mkilurs an orange",Does he peel an orange?,25,367
