item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2,is picking,subject1,the traveler,nocontext,,1,bag,the traveler,the traveler is picking the,is picking,the,bag,Is,packing,the traveler is picking the bag,Is the traveler packing the bag?,13,Yes,No,0,0,true,10
2,random,is habsdeing,subject1,the applicant,context2,"on the train, ",1,form,"on the train, the applicant","on the train, the applicant is habsdeing the",is habsdeing,the,form,Is,filling,"on the train, the applicant is habsdeing the form",Is the applicant filling the form?,13,Yes,No,0,0,true,12
3,word2,licked,subject2,the child with a sweet tooth,context1,"on the playground, ",1,ball,"on the playground, the child with a sweet tooth","on the playground, the child with a sweet tooth licked the",licked,the,ball,Did,kick,"on the playground, the child with a sweet tooth licked the ball",Did the child with a sweet tooth kick the ball?,13,Yes,No,0,0,true,1
4,random,asdafes,neutral,he,nocontext,,1,bike,he,he asdafes a,asdafes,a,bike,Does,ride,he asdafes a bike,Does he ride a bike?,13,Yes,No,0,0,true,14
5,random,is ujmnking,subject2,the coach,context1,"in the library, ",1,book,"in the library, the coach","in the library, the coach is ujmnking the",is ujmnking,the,book,Is,reading,"in the library, the coach is ujmnking the book",Is the coach reading the book?,13,Yes,No,0,0,true,6
6,word2,will beat,neutral,he,nocontext,,1,responsibility,he,he will beat the,will beat,the,responsibility,Will,bear,he will beat the responsibility,Will he bear the responsibility?,13,Yes,No,0,0,true,9
7,nonword,jeels,subject2,the man rushing to catch a train,context2,"in the waiting line, ",1,orange,"in the waiting line, the man rushing to catch a train","in the waiting line, the man rushing to catch a train jeels an",jeels,an,orange,Does,peel,"in the waiting line, the man rushing to catch a train jeels an orange",Does the man rushing to catch a train peel an orange?,13,Yes,No,0,0,true,3
8,nonword,is vaking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is vaking a",is vaking,a,photo,Is,taking,"in the film studio, he is vaking a photo",Is he taking a photo?,13,Yes,No,0,0,true,2
9,word2_control,surveys,neutral,he,nocontext,,1,door,he,he surveys the,surveys,the,door,Does,pull,he surveys the door,Does he pull the door?,13,Yes,No,0,0,true,15
10,nonword,savg,subject1,the troubadour,context1,"on the stage in the tavern, ",1,song,"on the stage in the tavern, the troubadour","on the stage in the tavern, the troubadour savg the",savg,the,song,Did,sing,"on the stage in the tavern, the troubadour savg the song",Did the troubadour sing the song?,13,Yes,No,0,0,true,5
11,word1,saves,subject1,the firefighter,context2,"at the post office, ",1,person,"at the post office, the firefighter","at the post office, the firefighter saves the",saves,the,person,Does,save,"at the post office, the firefighter saves the person",Does the firefighter save the person?,13,Yes,No,0,0,true,8
12,word1,turns,subject2,the match,context1,"outside the apartment entrance, ",1,key,"outside the apartment entrance, the match","outside the apartment entrance, the match turns the",turns,the,key,Does,turn,"outside the apartment entrance, the match turns the key",Does the match turn the key?,13,Yes,No,0,0,true,11
13,word1,slipped,subject2,the gambler,nocontext,,1,note,the gambler,the gambler slipped a,slipped,a,note,Did,slip,the gambler slipped a note,Did the gambler slip a note?,13,Yes,No,0,0,true,13
14,word2_control,stretched,subject1,the mailman,context2,"in the dance studio, ",1,letter,"in the dance studio, the mailman","in the dance studio, the mailman stretched his",stretched,his,letter,Did,send,"in the dance studio, the mailman stretched his letter",Did the mailman send his letter?,13,Yes,No,0,0,true,4
15,word2_control,creases,neutral,he,context2,"in an art class, ",1,meeting,"in an art class, he","in an art class, he creases a",creases,a,meeting,Does,hold,"in an art class, he creases a meeting",Does he hold a meeting?,13,Yes,No,0,0,true,7
