item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,random,is ajiaeasing,subject1,the traveler,context1,"in the hotel, ",1,bag,"in the hotel, the traveler","in the hotel, the traveler is ajiaeasing the",is ajiaeasing,the,bag,Is,packing,"in the hotel, the traveler is ajiaeasing the bag",Is the traveler packing the bag?,41,Yes,No,0,0,True,10
2,word2_control,is passing,subject1,the applicant,nocontext,,1,form,the applicant,the applicant is passing the,is passing,the,form,Is,filling,the applicant is passing the form,Is the applicant filling the form?,41,Yes,No,0,0,True,12
3,random,ambdked,subject2,the child with a sweet tooth,context2,"in the restaurant, ",1,ball,"in the restaurant, the child with a sweet tooth","in the restaurant, the child with a sweet tooth ambdked the",ambdked,the,ball,Did,kick,"in the restaurant, the child with a sweet tooth ambdked the ball",Did the child with a sweet tooth kick the ball?,41,Yes,No,0,0,True,1
4,word2_control,conceals,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he conceals a",conceals,a,bike,Does,ride,"in the park, he conceals a bike",Does he ride a bike?,41,Yes,No,0,0,True,14
5,word2_control,is managing,subject2,the coach,context2,"after the manager resigned, ",1,book,"after the manager resigned, the coach","after the manager resigned, the coach is managing the",is managing,the,book,Is,reading,"after the manager resigned, the coach is managing the book",Is the coach reading the book?,41,Yes,No,0,0,True,6
6,random,will aasoidjoi,neutral,he,context1,"when confronted by the challenge, ",1,responsibility,"when confronted by the challenge, he","when confronted by the challenge, he will aasoidjoi the",will aasoidjoi,the,responsibility,Will,bear,"when confronted by the challenge, he will aasoidjoi the responsibility",Will he bear the responsibility?,41,Yes,No,0,0,True,9
7,word2,feels,subject2,the man rushing to catch a train,nocontext,,1,orange,the man rushing to catch a train,the man rushing to catch a train feels an,feels,an,orange,Does,peel,the man rushing to catch a train feels an orange,Does the man rushing to catch a train peel an orange?,41,Yes,No,0,0,True,3
8,word2,is baking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is baking a",is baking,a,photo,Is,taking,"in the kitchen, he is baking a photo",Is he taking a photo?,41,Yes,No,0,0,True,2
9,word1,pulls,neutral,he,context1,"at the entrance, ",1,door,"at the entrance, he","at the entrance, he pulls the",pulls,the,door,Does,pull,"at the entrance, he pulls the door",Does he pull the door?,41,Yes,No,0,0,True,15
10,word2,rang,subject1,the troubadour,context2,"arriving at the front desk, ",1,song,"arriving at the front desk, the troubadour","arriving at the front desk, the troubadour rang the",rang,the,song,Did,sing,"arriving at the front desk, the troubadour rang the song",Did the troubadour sing the song?,41,Yes,No,0,0,True,5
11,nonword,savrs,subject1,the firefighter,nocontext,,1,person,the firefighter,the firefighter savrs the,savrs,the,person,Does,save,the firefighter savrs the person,Does the firefighter save the person?,41,Yes,No,0,0,True,8
12,nonword,tjrns,subject2,the match,context2,"in the darkness, ",1,key,"in the darkness, the match","in the darkness, the match tjrns the",tjrns,the,key,Does,turn,"in the darkness, the match tjrns the key",Does the match turn the key?,41,Yes,No,0,0,True,11
13,nonword,sljpped,subject2,the gambler,context1,"in the exam, ",1,note,"in the exam, the gambler","in the exam, the gambler sljpped a",sljpped,a,note,Did,slip,"in the exam, the gambler sljpped a note",Did the gambler slip a note?,41,Yes,No,0,0,True,13
14,word1,sent,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman sent his,sent,his,letter,Did,send,the mailman sent his letter,Did the mailman send his letter?,41,Yes,No,0,0,True,4
15,word1,holds,neutral,he,nocontext,,1,meeting,he,he holds a,holds,a,meeting,Does,hold,he holds a meeting,Does he hold a meeting?,41,Yes,No,0,0,True,7
