item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,random,is ajiaeasing,neutral,he,context1,"in the hotel, ",1,bag,"in the hotel, he","in the hotel, he is ajiaeasing the",is ajiaeasing,the,bag,Is,packing,"in the hotel, he is ajiaeasing the bag",Is he packing the bag?,38,Yes,No,0,0,True,10
2,word2_control,is passing,neutral,he,nocontext,,1,form,he,he is passing the,is passing,the,form,Is,filling,he is passing the form,Is he filling the form?,38,Yes,No,0,0,True,12
3,random,ambdked,subject1,the soccer player,context2,"in the restaurant, ",1,ball,"in the restaurant, the soccer player","in the restaurant, the soccer player ambdked the",ambdked,the,ball,Did,kick,"in the restaurant, the soccer player ambdked the ball",Did the soccer player kick the ball?,38,Yes,No,0,0,True,1
4,word2_control,conceals,subject2,the spy,context1,"in the park, ",1,bike,"in the park, the spy","in the park, the spy conceals a",conceals,a,bike,Does,ride,"in the park, the spy conceals a bike",Does the spy ride a bike?,38,Yes,No,0,0,True,14
5,word2_control,is managing,subject1,the bookworm,context2,"after the manager resigned, ",1,book,"after the manager resigned, the bookworm","after the manager resigned, the bookworm is managing the",is managing,the,book,Is,reading,"after the manager resigned, the bookworm is managing the book",Is the bookworm reading the book?,38,Yes,No,0,0,True,6
6,random,will aasoidjoi,subject2,the athlete,context1,"when confronted by the challenge, ",1,responsibility,"when confronted by the challenge, the athlete","when confronted by the challenge, the athlete will aasoidjoi the",will aasoidjoi,the,responsibility,Will,bear,"when confronted by the challenge, the athlete will aasoidjoi the responsibility",Will the athlete bear the responsibility?,38,Yes,No,0,0,True,9
7,word2,feels,subject1,the fruit seller,nocontext,,1,orange,the fruit seller,the fruit seller feels an,feels,an,orange,Does,peel,the fruit seller feels an orange,Does the fruit seller peel an orange?,38,Yes,No,0,0,True,3
8,word2,is baking,subject2,the baker,context2,"in the kitchen, ",1,photo,"in the kitchen, the baker","in the kitchen, the baker is baking a",is baking,a,photo,Is,taking,"in the kitchen, the baker is baking a photo",Is the baker taking a photo?,38,Yes,No,0,0,True,2
9,word1,pulls,subject2,the host,context1,"at the entrance, ",1,door,"at the entrance, the host","at the entrance, the host pulls the",pulls,the,door,Does,pull,"at the entrance, the host pulls the door",Does the host pull the door?,38,Yes,No,0,0,True,15
10,word2,rang,neutral,he,context2,"arriving at the front desk, ",1,song,"arriving at the front desk, he","arriving at the front desk, he rang the",rang,the,song,Did,sing,"arriving at the front desk, he rang the song",Did he sing the song?,38,Yes,No,0,0,True,5
11,nonword,savrs,neutral,he,nocontext,,1,person,he,he savrs the,savrs,the,person,Does,save,he savrs the person,Does he save the person?,38,Yes,No,0,0,True,8
12,nonword,tjrns,subject1,the tenant,context2,"in the darkness, ",1,key,"in the darkness, the tenant","in the darkness, the tenant tjrns the",tjrns,the,key,Does,turn,"in the darkness, the tenant tjrns the key",Does the tenant turn the key?,38,Yes,No,0,0,True,11
13,nonword,sljpped,subject1,the student,context1,"in the exam, ",1,note,"in the exam, the student","in the exam, the student sljpped a",sljpped,a,note,Did,slip,"in the exam, the student sljpped a note",Did the student slip a note?,38,Yes,No,0,0,True,13
14,word1,sent,neutral,he,nocontext,,1,letter,he,he sent his,sent,his,letter,Did,send,he sent his letter,Did he send his letter?,38,Yes,No,0,0,True,4
15,word1,holds,subject2,the artist,nocontext,,1,meeting,the artist,the artist holds a,holds,a,meeting,Does,hold,the artist holds a meeting,Does the artist hold a meeting?,38,Yes,No,0,0,True,7
