item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,material_id
1,word1,sang,neutral,he,nocontext,,1,song,he,he sang the,sang,the,song,Did,sing,he sang the song,Did he sing the song?,30,445
2,word2_control,lights,subject1,the tenant,nocontext,,1,key,the tenant,the tenant lights the,lights,the,key,Does,turn,the tenant lights the key,Does the tenant turn the key?,30,447
3,nonword,is pjcking,neutral,he,context2,"in the nursery, ",1,bag,"in the nursery, he","in the nursery, he is pjcking the",is pjcking,the,bag,Is,packing,"in the nursery, he is pjcking the bag",Is he packing the bag?,30,436
4,random,asdfaed,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he asdfaed his",asdfaed,his,letter,Did,send,"at the post office, he asdfaed his letter",Did he send his letter?,30,449
5,nonword,will besr,subject2,the athlete,context2,"in tomorrow's Olympic game, ",1,responsibility,"in tomorrow's Olympic game, the athlete","in tomorrow's Olympic game, the athlete will besr the",will besr,the,responsibility,Will,bear,"in tomorrow's Olympic game, the athlete will besr the responsibility",Will the athlete bear the responsibility?,30,441
6,random,hugjds,subject2,the host,context2,"on a game show, ",1,door,"on a game show, the host","on a game show, the host hugjds the",hugjds,the,door,Does,pull,"on a game show, the host hugjds the door",Does the host pull the door?,30,444
7,nonword,jicked,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player jicked the,jicked,the,ball,Did,kick,the soccer player jicked the ball,Did the soccer player kick the ball?,30,438
8,word2,is killing,neutral,he,context1,"before the interview, ",1,form,"before the interview, he","before the interview, he is killing the",is killing,the,form,Is,filling,"before the interview, he is killing the form",Is he filling the form?,30,437
9,random,jsaideafs,subject2,the artist,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, the artist","on the first day after the Christmas holiday, the artist jsaideafs a",jsaideafs,a,meeting,Does,hold,"on the first day after the Christmas holiday, the artist jsaideafs a meeting",Does the artist hold a meeting?,30,450
10,word2,is leading,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is leading the,is leading,the,book,Is,reading,the bookworm is leading the book,Is the bookworm reading the book?,30,440
11,word1,is taking,subject2,the baker,nocontext,,1,photo,the baker,the baker is taking a,is taking,a,photo,Is,taking,the baker is taking a photo,Is the baker taking a photo?,30,443
12,word2_control,brandishes,neutral,he,context1,"in that fire, ",1,person,"in that fire, he","in that fire, he brandishes the",brandishes,the,person,Does,save,"in that fire, he brandishes the person",Does he save the person?,30,446
13,word2_control,tossed,subject1,the student,context2,"in the casino, ",1,note,"in the casino, the student","in the casino, the student tossed a",tossed,a,note,Did,slip,"in the casino, the student tossed a note",Did the student slip a note?,30,448
14,word2,hides,subject2,the spy,context2,"on a mission, ",1,bike,"on a mission, the spy","on a mission, the spy hides a",hides,a,bike,Does,ride,"on a mission, the spy hides a bike",Does the spy ride a bike?,30,439
15,word1,peels,subject1,the fruit seller,context1,"in the fruit market, ",1,orange,"in the fruit market, the fruit seller","in the fruit market, the fruit seller peels an",peels,an,orange,Does,peel,"in the fruit market, the fruit seller peels an orange",Does the fruit seller peel an orange?,30,442
