item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2_control,is watering,neutral,he,context2,"in the nursery, ",1,bag,"in the nursery, he","in the nursery, he is watering the",is watering,the,bag,Is,packing,"in the nursery, he is watering the bag",Is he packing the bag?,21,Yes,No,0,0,True,10
2,word1,is filling,neutral,he,context1,"before the interview, ",1,form,"before the interview, he","before the interview, he is filling the",is filling,the,form,Is,filling,"before the interview, he is filling the form",Is he filling the form?,21,Yes,No,0,0,True,12
3,word2_control,tasted,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player tasted the,tasted,the,ball,Did,kick,the soccer player tasted the ball,Did the soccer player kick the ball?,21,Yes,No,0,0,True,1
4,word1,rides,subject2,the spy,context2,"on a mission, ",1,bike,"on a mission, the spy","on a mission, the spy rides a",rides,a,bike,Does,ride,"on a mission, the spy rides a bike",Does the spy ride a bike?,21,Yes,No,0,0,True,14
5,word1,is reading,subject1,the bookworm,nocontext,,1,book,the bookworm,the bookworm is reading the,is reading,the,book,Is,reading,the bookworm is reading the book,Is the bookworm reading the book?,21,Yes,No,0,0,True,6
6,word2_control,will break,subject2,the athlete,context2,"in tomorrow's Olympic game, ",1,responsibility,"in tomorrow's Olympic game, the athlete","in tomorrow's Olympic game, the athlete will break the",will break,the,responsibility,Will,bear,"in tomorrow's Olympic game, the athlete will break the responsibility",Will the athlete bear the responsibility?,21,Yes,No,0,0,True,9
7,random,mkilurs,subject1,the fruit seller,context1,"in the fruit market, ",1,orange,"in the fruit market, the fruit seller","in the fruit market, the fruit seller mkilurs an",mkilurs,an,orange,Does,peel,"in the fruit market, the fruit seller mkilurs an orange",Does the fruit seller peel an orange?,21,Yes,No,0,0,True,3
8,random,is ujmnking,subject2,the baker,nocontext,,1,photo,the baker,the baker is ujmnking a,is ujmnking,a,photo,Is,taking,the baker is ujmnking a photo,Is the baker taking a photo?,21,Yes,No,0,0,True,2
9,nonword,oulls,subject2,the host,context2,"on a game show, ",1,door,"on a game show, the host","on a game show, the host oulls the",oulls,the,door,Does,pull,"on a game show, the host oulls the door",Does the host pull the door?,21,Yes,No,0,0,True,15
10,random,suehrged,neutral,he,nocontext,,1,song,he,he suehrged the,suehrged,the,song,Did,sing,he suehrged the song,Did he sing the song?,21,Yes,No,0,0,True,5
11,word2,waves,neutral,he,context1,"in that fire, ",1,person,"in that fire, he","in that fire, he waves the",waves,the,person,Does,save,"in that fire, he waves the person",Does he save the person?,21,Yes,No,0,0,True,8
12,word2,burns,subject1,the tenant,nocontext,,1,key,the tenant,the tenant burns the,burns,the,key,Does,turn,the tenant burns the key,Does the tenant turn the key?,21,Yes,No,0,0,True,11
13,word2,flipped,subject1,the student,context2,"in the casino, ",1,note,"in the casino, the student","in the casino, the student flipped a",flipped,a,note,Did,slip,"in the casino, the student flipped a note",Did the student slip a note?,21,Yes,No,0,0,True,13
14,nonword,sejt,neutral,he,context1,"at the post office, ",1,letter,"at the post office, he","at the post office, he sejt his",sejt,his,letter,Did,send,"at the post office, he sejt his letter",Did he send his letter?,21,Yes,No,0,0,True,4
15,nonword,hokds,subject2,the artist,context1,"on the first day after the Christmas holiday, ",1,meeting,"on the first day after the Christmas holiday, the artist","on the first day after the Christmas holiday, the artist hokds a",hokds,a,meeting,Does,hold,"on the first day after the Christmas holiday, the artist hokds a meeting",Does the artist hold a meeting?,21,Yes,No,0,0,True,7
