item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,nonword,is pjcking,subject2,the gardener,context1,"in the hotel, ",1,bag,"in the hotel, the gardener","in the hotel, the gardener is pjcking the",is pjcking,the,bag,Is,packing,"in the hotel, the gardener is pjcking the bag",Is the gardener packing the bag?,35,Yes,No,0,0,true,10
2,word2,is killing,subject2,the bored person,nocontext,,1,form,the bored person,the bored person is killing the,is killing,the,form,Is,filling,the bored person is killing the form,Is the bored person filling the form?,35,Yes,No,0,0,true,12
3,nonword,jicked,neutral,he,context2,"in the restaurant, ",1,ball,"in the restaurant, he","in the restaurant, he jicked the",jicked,the,ball,Did,kick,"in the restaurant, he jicked the ball",Did he kick the ball?,35,Yes,No,0,0,true,1
4,word2,hides,subject1,the cyclist,context1,"in the park, ",1,bike,"in the park, the cyclist","in the park, the cyclist hides a",hides,a,bike,Does,ride,"in the park, the cyclist hides a bike",Does the cyclist ride a bike?,35,Yes,No,0,0,true,14
5,word2,is leading,neutral,he,context2,"after the manager resigned, ",1,book,"after the manager resigned, he","after the manager resigned, he is leading the",is leading,the,book,Is,reading,"after the manager resigned, he is leading the book",Is he reading the book?,35,Yes,No,0,0,true,6
6,nonword,will besr,subject1,the leader,context1,"when confronted by the challenge, ",1,responsibility,"when confronted by the challenge, the leader","when confronted by the challenge, the leader will besr the",will besr,the,responsibility,Will,bear,"when confronted by the challenge, the leader will besr the responsibility",Will the leader bear the responsibility?,35,Yes,No,0,0,true,9
7,word1,peels,neutral,he,nocontext,,1,orange,he,he peels an,peels,an,orange,Does,peel,he peels an orange,Does he peel an orange?,35,Yes,No,0,0,true,3
8,word1,is taking,subject1,the photographer,context2,"in the kitchen, ",1,photo,"in the kitchen, the photographer","in the kitchen, the photographer is taking a",is taking,a,photo,Is,taking,"in the kitchen, the photographer is taking a photo",Is the photographer taking a photo?,35,Yes,No,0,0,true,2
9,random,hugjds,subject1,the visitor,context1,"at the entrance, ",1,door,"at the entrance, the visitor","at the entrance, the visitor hugjds the",hugjds,the,door,Does,pull,"at the entrance, the visitor hugjds the door",Does the visitor pull the door?,35,Yes,No,0,0,true,15
10,word1,sang,subject2,the guest,context2,"arriving at the front desk, ",1,song,"arriving at the front desk, the guest","arriving at the front desk, the guest sang the",sang,the,song,Did,sing,"arriving at the front desk, the guest sang the song",Did the guest sing the song?,35,Yes,No,0,0,true,5
11,word2_control,brandishes,subject2,the speculator,nocontext,,1,person,the speculator,the speculator brandishes the,brandishes,the,person,Does,save,the speculator brandishes the person,Does the speculator save the person?,35,Yes,No,0,0,true,8
12,word2_control,lights,neutral,he,context2,"in the darkness, ",1,key,"in the darkness, he","in the darkness, he lights the",lights,the,key,Does,turn,"in the darkness, he lights the key",Does he turn the key?,35,Yes,No,0,0,true,11
13,word2_control,tossed,neutral,he,context1,"in the exam, ",1,note,"in the exam, he","in the exam, he tossed a",tossed,a,note,Did,slip,"in the exam, he tossed a note",Did he slip a note?,35,Yes,No,0,0,true,13
14,random,asdfaed,subject2,the gymnast,nocontext,,1,letter,the gymnast,the gymnast asdfaed his,asdfaed,his,letter,Did,send,the gymnast asdfaed his letter,Did the gymnast send his letter?,35,Yes,No,0,0,true,4
15,random,jsaideafs,subject1,the manager,nocontext,,1,meeting,the manager,the manager jsaideafs a,jsaideafs,a,meeting,Does,hold,the manager jsaideafs a meeting,Does the manager hold a meeting?,35,Yes,No,0,0,true,7
