item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,word2_control,is watering,subject1,the traveler,context1,"in the hotel, ",1,bag,"in the hotel, the traveler","in the hotel, the traveler is watering the",is watering,the,bag,Is,packing,"in the hotel, the traveler is watering the bag",Is the traveler packing the bag?,23,Yes,No,0,0,True,10
2,word1,is filling,subject1,the applicant,nocontext,,1,form,the applicant,the applicant is filling the,is filling,the,form,Is,filling,the applicant is filling the form,Is the applicant filling the form?,23,Yes,No,0,0,True,12
3,word2_control,tasted,subject2,the child with a sweet tooth,context2,"in the restaurant, ",1,ball,"in the restaurant, the child with a sweet tooth","in the restaurant, the child with a sweet tooth tasted the",tasted,the,ball,Did,kick,"in the restaurant, the child with a sweet tooth tasted the ball",Did the child with a sweet tooth kick the ball?,23,Yes,No,0,0,True,1
4,word1,rides,neutral,he,context1,"in the park, ",1,bike,"in the park, he","in the park, he rides a",rides,a,bike,Does,ride,"in the park, he rides a bike",Does he ride a bike?,23,Yes,No,0,0,True,14
5,word1,is reading,subject2,the coach,context2,"after the manager resigned, ",1,book,"after the manager resigned, the coach","after the manager resigned, the coach is reading the",is reading,the,book,Is,reading,"after the manager resigned, the coach is reading the book",Is the coach reading the book?,23,Yes,No,0,0,True,6
6,word2_control,will break,neutral,he,context1,"when confronted by the challenge, ",1,responsibility,"when confronted by the challenge, he","when confronted by the challenge, he will break the",will break,the,responsibility,Will,bear,"when confronted by the challenge, he will break the responsibility",Will he bear the responsibility?,23,Yes,No,0,0,True,9
7,random,mkilurs,subject2,the man rushing to catch a train,nocontext,,1,orange,the man rushing to catch a train,the man rushing to catch a train mkilurs an,mkilurs,an,orange,Does,peel,the man rushing to catch a train mkilurs an orange,Does the man rushing to catch a train peel an orange?,23,Yes,No,0,0,True,3
8,random,is ujmnking,neutral,he,context2,"in the kitchen, ",1,photo,"in the kitchen, he","in the kitchen, he is ujmnking a",is ujmnking,a,photo,Is,taking,"in the kitchen, he is ujmnking a photo",Is he taking a photo?,23,Yes,No,0,0,True,2
9,nonword,oulls,neutral,he,context1,"at the entrance, ",1,door,"at the entrance, he","at the entrance, he oulls the",oulls,the,door,Does,pull,"at the entrance, he oulls the door",Does he pull the door?,23,Yes,No,0,0,True,15
10,random,suehrged,subject1,the troubadour,context2,"arriving at the front desk, ",1,song,"arriving at the front desk, the troubadour","arriving at the front desk, the troubadour suehrged the",suehrged,the,song,Did,sing,"arriving at the front desk, the troubadour suehrged the song",Did the troubadour sing the song?,23,Yes,No,0,0,True,5
11,word2,waves,subject1,the firefighter,nocontext,,1,person,the firefighter,the firefighter waves the,waves,the,person,Does,save,the firefighter waves the person,Does the firefighter save the person?,23,Yes,No,0,0,True,8
12,word2,burns,subject2,the match,context2,"in the darkness, ",1,key,"in the darkness, the match","in the darkness, the match burns the",burns,the,key,Does,turn,"in the darkness, the match burns the key",Does the match turn the key?,23,Yes,No,0,0,True,11
13,word2,flipped,subject2,the gambler,context1,"in the exam, ",1,note,"in the exam, the gambler","in the exam, the gambler flipped a",flipped,a,note,Did,slip,"in the exam, the gambler flipped a note",Did the gambler slip a note?,23,Yes,No,0,0,True,13
14,nonword,sejt,subject1,the mailman,nocontext,,1,letter,the mailman,the mailman sejt his,sejt,his,letter,Did,send,the mailman sejt his letter,Did the mailman send his letter?,23,Yes,No,0,0,True,4
15,nonword,hokds,neutral,he,nocontext,,1,meeting,he,he hokds a,hokds,a,meeting,Does,hold,he hokds a meeting,Does he hold a meeting?,23,Yes,No,0,0,True,7
